Sample ID	iCluster
TCGA-EY-A54A	10
TCGA-EY-A5W2	8
TCGA-EY-A72D	25
TCGA-FI-A2EY	2
TCGA-FI-A3PV	13
TCGA-FI-A3PX	13
TCGA-H5-A2HR	13
TCGA-JU-AAVI	13
TCGA-K6-A3WQ	17
TCGA-KP-A3VZ	13
TCGA-KP-A3W0	17
TCGA-KP-A3W1	20
TCGA-KP-A3W3	8
TCGA-KP-A3W4	2
TCGA-PG-A5BC	10
TCGA-PG-A6IB	8
TCGA-PG-A7D5	13
TCGA-PG-A914	13
TCGA-PG-A915	13
TCGA-PG-A916	8
TCGA-PG-A917	8
TCGA-QF-A5YS	8
TCGA-QF-A5YT	8
TCGA-QS-A5YQ	8
TCGA-QS-A5YR	8
TCGA-QS-A744	8
TCGA-QS-A8F1	17
TCGA-SJ-A6ZI	8
TCGA-SJ-A6ZJ	8
TCGA-SL-A6J9	8
TCGA-SL-A6JA	8
TCGA-3N-A9WC	15
TCGA-3N-A9WD	3
TCGA-BF-A1PU	15
TCGA-BF-A1PV	15
TCGA-BF-A1PX	3
TCGA-BF-A1PZ	7
TCGA-BF-A1Q0	15
TCGA-BF-A3DJ	15
TCGA-BF-A3DL	15
TCGA-BF-A3DM	15
TCGA-BF-A3DN	15
TCGA-BF-A5EP	15
TCGA-BF-A5EQ	15
TCGA-BF-A5ER	15
TCGA-BF-A5ES	15
TCGA-BF-A9VF	15
TCGA-BF-AAOU	15
TCGA-BF-AAOX	15
TCGA-BF-AAP0	3
TCGA-BF-AAP1	15
TCGA-BF-AAP2	7
TCGA-BF-AAP4	15
TCGA-BF-AAP6	15
TCGA-BF-AAP7	3
TCGA-BF-AAP8	3
TCGA-D3-A1Q1	15
TCGA-D3-A1Q3	15
TCGA-D3-A1Q4	3
TCGA-D3-A1Q5	7
TCGA-D3-A1Q6	15
TCGA-D3-A1Q7	15
TCGA-D3-A1Q8	15
TCGA-D3-A1Q9	15
TCGA-D3-A1QA	15
TCGA-D3-A1QB	15
TCGA-D3-A2J6	15
TCGA-D3-A2J7	15
TCGA-D3-A2J8	3
TCGA-D3-A2J9	3
TCGA-D3-A2JA	3
TCGA-D3-A2JB	3
TCGA-D3-A2JC	3
TCGA-D3-A2JD	15
TCGA-D3-A2JE	15
TCGA-D3-A2JF	15
TCGA-D3-A2JG	15
TCGA-D3-A2JH	3
TCGA-D3-A2JK	15
TCGA-D3-A2JL	15
TCGA-D3-A2JN	3
TCGA-D3-A2JO	15
TCGA-D3-A2JP	3
TCGA-D3-A3BZ	3
TCGA-D3-A3C1	15
TCGA-D3-A3C3	15
TCGA-D3-A3C6	15
TCGA-D3-A3C7	15
TCGA-D3-A3C8	3
TCGA-D3-A3CB	15
TCGA-D3-A3CC	15
TCGA-D3-A3CE	7
TCGA-D3-A3CF	3
TCGA-D3-A3ML	15
TCGA-D3-A3MO	7
TCGA-D3-A3MR	3
TCGA-D3-A3MU	15
TCGA-D3-A3MV	15
TCGA-D3-A51E	15
TCGA-D3-A51F	3
TCGA-D3-A51G	15
TCGA-D3-A51H	3
TCGA-D3-A51J	15
TCGA-D3-A51K	15
TCGA-D3-A51N	7
TCGA-D3-A51R	7
TCGA-D3-A51T	15
TCGA-D3-A5GL	15
